 101  57.0  -77.0 10 RICHMOND GULF QUE.    
10150.7392  300.0000    5.0000    1.0000
 220  60.2    5.0  4 BERGEN NOR.           
 8173.9313  200.0000   11.4000    1.7000
11400.6079  300.0000   23.6000    3.5000
11956.1051  400.0000   32.3000    4.8000
12789.3508  400.0000   38.2000    5.7000
 221  59.0    5.5  7 JAEREN NOR.           
  969.9618  500.0000    1.0000    1.0000
 2020.9752  500.0000    1.0000    1.0000
 3153.6864  500.0000    2.0000    1.0000
 4387.7405  500.0000    4.0000    1.0000
 8857.1391  500.0000    4.0000    1.0000
10150.7392  500.0000    1.0000    1.0000
11539.4822  500.0000    5.0000    1.0000
 222  58.0    6.7  9 LISTA NOR.            
  969.9618  200.0000    1.0000    1.0000
 2020.9752  200.0000    2.0000    1.0000
 3153.6864  200.0000    3.0000    1.0000
 4387.7405  200.0000    7.0000    1.0000
 5721.0440  200.0000    3.0000    1.0000
 6860.0804  200.0000    3.0000    1.0000
 7818.8277  200.0000    2.0000    1.0000
 8857.1391  300.0000   -8.0000    1.1000
10150.7392  300.0000  -11.0000    1.6000
 223  58.0    7.7  2 MANDAL NOR.           
 3280.5126  200.0000    4.0000    1.0000
 7699.0798  200.0000    8.0000    1.1000
 224  60.0   10.9  4 OSLO NOR.             
 2563.9141  200.0000    9.0000    1.3000
 5721.0440  200.0000   26.0000    3.9000
 9081.2861  300.0000   75.0000   11.2000
10845.1107  300.0000  142.0000   21.2000
 225  59.5   11.0  4 S. OSTFOLD NOR.       
 2563.9141  200.0000    8.0000    1.1000
 5721.0440  200.0000   20.0000    3.0000
 9081.2861  300.0000   60.0000    8.9000
10845.1107  300.0000  115.0000   17.2000
 226  58.6   11.2  8 FJALLBACKA SWE.       
  969.9618  200.0000    6.0000    1.0000
 2020.9752  200.0000   10.0000    1.4000
 3153.6864  200.0000   17.0000    2.5000
 4387.7405  200.0000   23.0000    3.4000
 5721.0440  200.0000   30.0000    4.5000
 6860.0804  200.0000   38.0000    5.6000
 7818.8277  200.0000   47.0000    7.0000
 8857.1391  300.0000   57.0000    8.5000
 227  57.7   11.7  9 GOTEBORG SWE.         
  969.9618  200.0000    1.0000    1.0000
 2020.9752  200.0000    6.0000    1.0000
 3153.6864  200.0000    9.0000    1.3000
 4387.7405  200.0000   13.0000    1.9000
